<<<<<<< HEAD
disease_label,crop,condition,symptoms,management,prescription,source
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape,Disease,Leaf spotting/blighting that can expand under favorable moisture conditions.,"Improve canopy airflow, reduce prolonged leaf wetness, remove heavily infected debris, and scout regularly.",Use only a locally registered fungicide if chemical control is recommended by local guidance; follow the label.,General integrated disease-management guidance; verify locally.
Grape___healthy,Grape,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Orange___Haunglongbing_(Citrus_greening),Orange,Disease,"Mottled/yellowing leaves, decline and poor or abnormal fruit development can occur.","Use certified disease-free planting material, monitor and manage the insect vector, and remove infected trees where required by local programs.",There is no simple curative pesticide prescription for an infected tree. Follow local citrus greening/vector-management and regulatory guidance.,Disease-management requires local regulatory and extension guidance.
Peach___Bacterial_spot,Peach,Disease,"Small dark leaf spots and fruit lesions; symptoms are favored by warm, wet conditions.","Use resistant/tolerant cultivars where available, improve orchard airflow and sanitation, and avoid unnecessary leaf wetness.",Use a locally registered bactericide/fungicide program only according to the product label and local peach recommendations.,General integrated disease-management guidance; verify locally.
Peach___healthy,Peach,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
"Pepper,_bell___Bacterial_spot",Bell pepper,Disease,Small brown circular leaf spots; fruit may develop raised brown spots.,"Use clean seed/transplants, avoid overhead irrigation, keep foliage dry, provide airflow, remove symptomatic tissue, and sanitize tools.",Chemical options for bacterial spot are limited and resistance to copper is documented. Use only a locally registered product and follow its label; do not apply an automatic dose.,UMN Extension bacterial spot guidance.
"Pepper,_bell___healthy",Bell pepper,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Potato___Early_blight,Potato,Disease,"Dark leaf spots, often with concentric rings, followed by yellowing and leaf death.","Use resistant/tolerant cultivars, rotate crops, remove infected debris, maintain plant vigor and reduce leaf wetness.","If fungicide treatment is needed, use a locally registered potato product according to the label and local advisory.",UMN Extension early blight guidance.
Potato___Late_blight,Potato,Disease,"Water-soaked to dark lesions that can rapidly expand under cool, wet conditions.","Scout frequently, use resistant/tolerant varieties where available, reduce prolonged leaf wetness, remove infected material appropriately, and rotate crops.",Late blight requires products effective against water molds when chemical control is justified. Use only locally registered products and follow label instructions and harvest intervals.,UMN Extension late blight guidance.
Potato___healthy,Potato,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Raspberry___healthy,Raspberry,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Soybean___healthy,Soybean,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Squash___Powdery_mildew,Squash,Disease,White powdery fungal growth on leaf surfaces followed by yellowing and decline.,"Use resistant cultivars, improve airflow and sunlight exposure, scout early, and remove severely affected tissue where practical.",Use a locally registered powdery-mildew product according to its label if treatment is warranted.,General integrated disease-management guidance; verify locally.
Strawberry___Leaf_scorch,Strawberry,Disease,Leaf scorch/spotting that can reduce green leaf area.,"Remove heavily infected leaves, maintain sanitation and airflow, avoid prolonged leaf wetness, and use healthy planting material.",Use only a locally registered strawberry disease-control product if recommended locally; follow the label.,General integrated disease-management guidance; verify locally.
Strawberry___healthy,Strawberry,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Tomato___Bacterial_spot,Tomato,Disease,"Small brown circular leaf spots, often with yellow halos; fruit can develop raised brown spots.","Use clean seed/transplants, avoid overhead watering, water at the base, improve airflow, remove symptomatic leaves, sanitize tools and manage crop debris.",Pesticide options are limited and resistance to copper is documented. Use only a locally registered product according to the label and local advisory.,UMN Extension bacterial spot guidance.
Tomato___Early_blight,Tomato,Disease,"Dark brown leaf spots with concentric rings, often starting on older lower foliage.","Use resistant/tolerant cultivars, mulch soil, water at the base, improve airflow, prune infected leaves carefully, sanitize tools and rotate crops.","If fungicide treatment is justified, use a locally registered tomato product and follow its label. Rotate chemical groups according to local guidance.",UMN Extension early blight guidance; ICAR tomato advisories.
Tomato___Late_blight,Tomato,Disease,"Rapidly expanding dark/water-soaked lesions under favorable cool, wet conditions; severe disease can rapidly defoliate plants.","Scout regularly, keep leaves dry, use drip/soaker irrigation, improve airflow, remove infected material and manage crop rotation/sanitation.","Use a product specifically registered for late blight/water-mold management in the crop and follow the label, including harvest interval. Do not use an automatic dose from this app.",UMN Extension late blight guidance; ICAR tomato advisories.
Tomato___Leaf_Mold,Tomato,Disease,"Yellowish upper-leaf patches with corresponding olive/gray mold growth on lower leaf surfaces, especially in humid conditions.","Improve ventilation and airflow, reduce humidity and leaf wetness, avoid unnecessary overhead irrigation and remove infected debris.",Use a locally registered tomato leaf-mold product only if recommended locally and strictly follow the label.,General integrated disease-management guidance; verify locally.
Tomato___Septoria_leaf_spot,Tomato,Disease,"Numerous small circular leaf spots, commonly beginning on lower leaves.","Remove affected lower leaves, mulch soil, keep foliage dry, improve airflow, sanitize tools and remove crop debris.","If chemical control is needed, use a locally registered tomato leaf-spot product according to the label and local advisory.",UMN Extension tomato leaf-spot guidance.
Tomato___Spider_mites Two-spotted_spider_mite,Tomato,Pest,"Fine stippling/yellowing and possible webbing, especially during hot, dry conditions.","Scout leaf undersides, reduce plant stress, manage dust, and use integrated pest management rather than routine broad-spectrum spraying.",Use a locally registered miticide only after confirming mites and follow the product label. Avoid automatic pesticide selection from an image alone.,Integrated pest-management guidance; verify locally.
Tomato___Target_Spot,Tomato,Disease,Leaf and fruit spots can develop concentric target-like patterns and enlarge under favorable conditions.,"Improve airflow, keep foliage dry, remove infected debris and scout regularly.",Use only a locally registered tomato target-spot product if treatment is justified; follow the label.,General integrated disease-management guidance; verify locally.
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Viral disease,"Leaf curling, yellowing and stunting; young leaves may become small and distorted.","Use resistant/tolerant varieties, use clean transplants and manage the whitefly vector through integrated pest management.",There is no curative pesticide for the virus itself. Vector management and removal of severely affected plants should follow local agricultural guidance.,Integrated viral-disease/vector management; verify locally.
Tomato___Tomato_mosaic_virus,Tomato,Viral disease,"Mosaic or mottled leaf patterns, distortion and variable plant growth reduction.","Use clean seed/transplants, sanitize tools and hands, remove infected plants, and avoid spreading sap between plants.",There is no curative pesticide for the virus itself. Focus on sanitation and prevention; confirm diagnosis locally.,Integrated viral-disease management; verify locally.
Tomato___healthy,Tomato,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
=======
disease_label,crop,condition,symptoms,management,prescription,source
Apple___Apple_scab,Apple,Disease,Olive to brown leaf lesions; severe infection can cause leaf drop and fruit lesions.,"Remove infected fallen leaves and fruit, improve airflow, avoid prolonged leaf wetness, and use resistant cultivars where available.",Use a locally registered fungicide only when appropriate and strictly according to the product label and local agricultural guidance.,University/extension disease-management guidance; verify locally before chemical use.
Apple___Black_rot,Apple,Disease,Dark leaf spots and fruit rot; infected plant tissue can develop blackened areas.,"Remove mummified fruit and dead/infected wood, improve sanitation and airflow, and monitor regularly.",Use only a locally registered product for apple black rot and follow its label; do not apply an automatic pesticide dose from this app.,General integrated disease-management guidance; verify locally.
Apple___Cedar_apple_rust,Apple,Disease,Yellow-orange leaf spots that can develop into more pronounced rust symptoms.,"Use resistant cultivars where available, remove nearby alternate hosts where practical, and maintain good orchard sanitation.","If chemical control is required, use a locally registered rust fungicide according to its label and local advisory.",General integrated disease-management guidance; verify locally.
Apple___healthy,Apple,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Blueberry___healthy,Blueberry,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Cherry_(including_sour)___Powdery_mildew,Cherry (including sour),Disease,Disease-specific information has not yet been verified in this starter database.,Do not rely on an automatic treatment. Confirm the diagnosis with a local agricultural expert.,NO AUTOMATIC PRESCRIPTION. Verify the disease and use only locally registered products according to their labels.,Starter database placeholder; requires local verification.
Cherry_(including_sour)___healthy,Cherry,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn (maize),Disease,Gray to tan rectangular/elongated leaf lesions that can expand and cause leaf blighting.,"Use resistant hybrids, rotate crops where practical, manage infected residue, and scout regularly.","Fungicide decisions should be based on crop stage, disease pressure, hybrid susceptibility and local registration; follow the product label.",Integrated corn disease management; verify local product registration.
Corn_(maize)___Common_rust_,Corn (maize),Disease,Rust-colored to dark brown elongated pustules on leaf surfaces.,"Use resistant hybrids and scout during cool, wet conditions; fungicides can be useful when disease pressure is high and treatment is justified.","If fungicide treatment is justified, use a locally registered product and follow its label. Resistant hybrids are a key management option.",UMN Extension common rust guidance.
Corn_(maize)___Northern_Leaf_Blight,Corn (maize),Disease,Long canoe-shaped gray-green to tan lesions that may enlarge and cause leaf blighting.,"Use resistant hybrids; crop rotation and residue/tillage management may help; scout during cool, moist conditions.",Fungicides may be warranted in susceptible/high-value situations. Use only a locally registered product and follow the label.,UMN Extension northern corn leaf blight guidance.
Corn_(maize)___healthy,Corn (maize),Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Grape___Black_rot,Grape,Disease,Brown leaf lesions and dark fruit rot/mummification can occur.,"Remove mummified fruit and infected tissue, improve canopy airflow, and maintain field sanitation.",Use a locally registered grape black-rot fungicide only when needed and strictly according to the label.,General integrated disease-management guidance; verify locally.
Grape___Esca_(Black_Measles),Grape,Disease,Leaf symptoms can include interveinal discoloration and chronic decline; symptoms vary by disease stage.,Remove or manage severely affected vines according to local viticulture guidance and maintain clean pruning practices.,Do not automatically prescribe a pesticide. Obtain local diagnosis because trunk diseases require crop- and region-specific management.,Diagnosis-dependent management; verify locally.
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape,Disease,Leaf spotting/blighting that can expand under favorable moisture conditions.,"Improve canopy airflow, reduce prolonged leaf wetness, remove heavily infected debris, and scout regularly.",Use only a locally registered fungicide if chemical control is recommended by local guidance; follow the label.,General integrated disease-management guidance; verify locally.
Grape___healthy,Grape,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Orange___Haunglongbing_(Citrus_greening),Orange,Disease,"Mottled/yellowing leaves, decline and poor or abnormal fruit development can occur.","Use certified disease-free planting material, monitor and manage the insect vector, and remove infected trees where required by local programs.",There is no simple curative pesticide prescription for an infected tree. Follow local citrus greening/vector-management and regulatory guidance.,Disease-management requires local regulatory and extension guidance.
Peach___Bacterial_spot,Peach,Disease,"Small dark leaf spots and fruit lesions; symptoms are favored by warm, wet conditions.","Use resistant/tolerant cultivars where available, improve orchard airflow and sanitation, and avoid unnecessary leaf wetness.",Use a locally registered bactericide/fungicide program only according to the product label and local peach recommendations.,General integrated disease-management guidance; verify locally.
Peach___healthy,Peach,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
"Pepper,_bell___Bacterial_spot",Bell pepper,Disease,Small brown circular leaf spots; fruit may develop raised brown spots.,"Use clean seed/transplants, avoid overhead irrigation, keep foliage dry, provide airflow, remove symptomatic tissue, and sanitize tools.",Chemical options for bacterial spot are limited and resistance to copper is documented. Use only a locally registered product and follow its label; do not apply an automatic dose.,UMN Extension bacterial spot guidance.
"Pepper,_bell___healthy",Bell pepper,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Potato___Early_blight,Potato,Disease,"Dark leaf spots, often with concentric rings, followed by yellowing and leaf death.","Use resistant/tolerant cultivars, rotate crops, remove infected debris, maintain plant vigor and reduce leaf wetness.","If fungicide treatment is needed, use a locally registered potato product according to the label and local advisory.",UMN Extension early blight guidance.
Potato___Late_blight,Potato,Disease,"Water-soaked to dark lesions that can rapidly expand under cool, wet conditions.","Scout frequently, use resistant/tolerant varieties where available, reduce prolonged leaf wetness, remove infected material appropriately, and rotate crops.",Late blight requires products effective against water molds when chemical control is justified. Use only locally registered products and follow label instructions and harvest intervals.,UMN Extension late blight guidance.
Potato___healthy,Potato,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Raspberry___healthy,Raspberry,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Soybean___healthy,Soybean,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Squash___Powdery_mildew,Squash,Disease,White powdery fungal growth on leaf surfaces followed by yellowing and decline.,"Use resistant cultivars, improve airflow and sunlight exposure, scout early, and remove severely affected tissue where practical.",Use a locally registered powdery-mildew product according to its label if treatment is warranted.,General integrated disease-management guidance; verify locally.
Strawberry___Leaf_scorch,Strawberry,Disease,Leaf scorch/spotting that can reduce green leaf area.,"Remove heavily infected leaves, maintain sanitation and airflow, avoid prolonged leaf wetness, and use healthy planting material.",Use only a locally registered strawberry disease-control product if recommended locally; follow the label.,General integrated disease-management guidance; verify locally.
Strawberry___healthy,Strawberry,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Tomato___Bacterial_spot,Tomato,Disease,"Small brown circular leaf spots, often with yellow halos; fruit can develop raised brown spots.","Use clean seed/transplants, avoid overhead watering, water at the base, improve airflow, remove symptomatic leaves, sanitize tools and manage crop debris.",Pesticide options are limited and resistance to copper is documented. Use only a locally registered product according to the label and local advisory.,UMN Extension bacterial spot guidance.
Tomato___Early_blight,Tomato,Disease,"Dark brown leaf spots with concentric rings, often starting on older lower foliage.","Use resistant/tolerant cultivars, mulch soil, water at the base, improve airflow, prune infected leaves carefully, sanitize tools and rotate crops.","If fungicide treatment is justified, use a locally registered tomato product and follow its label. Rotate chemical groups according to local guidance.",UMN Extension early blight guidance; ICAR tomato advisories.
Tomato___Late_blight,Tomato,Disease,"Rapidly expanding dark/water-soaked lesions under favorable cool, wet conditions; severe disease can rapidly defoliate plants.","Scout regularly, keep leaves dry, use drip/soaker irrigation, improve airflow, remove infected material and manage crop rotation/sanitation.","Use a product specifically registered for late blight/water-mold management in the crop and follow the label, including harvest interval. Do not use an automatic dose from this app.",UMN Extension late blight guidance; ICAR tomato advisories.
Tomato___Leaf_Mold,Tomato,Disease,"Yellowish upper-leaf patches with corresponding olive/gray mold growth on lower leaf surfaces, especially in humid conditions.","Improve ventilation and airflow, reduce humidity and leaf wetness, avoid unnecessary overhead irrigation and remove infected debris.",Use a locally registered tomato leaf-mold product only if recommended locally and strictly follow the label.,General integrated disease-management guidance; verify locally.
Tomato___Septoria_leaf_spot,Tomato,Disease,"Numerous small circular leaf spots, commonly beginning on lower leaves.","Remove affected lower leaves, mulch soil, keep foliage dry, improve airflow, sanitize tools and remove crop debris.","If chemical control is needed, use a locally registered tomato leaf-spot product according to the label and local advisory.",UMN Extension tomato leaf-spot guidance.
Tomato___Spider_mites Two-spotted_spider_mite,Tomato,Pest,"Fine stippling/yellowing and possible webbing, especially during hot, dry conditions.","Scout leaf undersides, reduce plant stress, manage dust, and use integrated pest management rather than routine broad-spectrum spraying.",Use a locally registered miticide only after confirming mites and follow the product label. Avoid automatic pesticide selection from an image alone.,Integrated pest-management guidance; verify locally.
Tomato___Target_Spot,Tomato,Disease,Leaf and fruit spots can develop concentric target-like patterns and enlarge under favorable conditions.,"Improve airflow, keep foliage dry, remove infected debris and scout regularly.",Use only a locally registered tomato target-spot product if treatment is justified; follow the label.,General integrated disease-management guidance; verify locally.
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Viral disease,"Leaf curling, yellowing and stunting; young leaves may become small and distorted.","Use resistant/tolerant varieties, use clean transplants and manage the whitefly vector through integrated pest management.",There is no curative pesticide for the virus itself. Vector management and removal of severely affected plants should follow local agricultural guidance.,Integrated viral-disease/vector management; verify locally.
Tomato___Tomato_mosaic_virus,Tomato,Viral disease,"Mosaic or mottled leaf patterns, distortion and variable plant growth reduction.","Use clean seed/transplants, sanitize tools and hands, remove infected plants, and avoid spreading sap between plants.",There is no curative pesticide for the virus itself. Focus on sanitation and prevention; confirm diagnosis locally.,Integrated viral-disease management; verify locally.
Tomato___healthy,Tomato,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
>>>>>>> f7dd115e (new model added)
